"","Entity","Code","Year","GDP from tourism as a share of total GDP"
"1005","Switzerland","CHE",2021,2.1399927
"1006","Switzerland","CHE",2022,2.5791626
"1007","Tajikistan","TJK",2017,4.655826
"1008","Tajikistan","TJK",2018,3.7743456
"1009","Tajikistan","TJK",2019,4.3023024
"1010","Tajikistan","TJK",2020,2.383698
"1011","Tajikistan","TJK",2021,3.3708336
"1012","Tajikistan","TJK",2022,3.3708336
"1013","Thailand","THA",2010,3.5633943
"1014","Thailand","THA",2011,4.198749
"1015","Thailand","THA",2012,4.72683
"1016","Thailand","THA",2013,5.336111
"1017","Thailand","THA",2014,5.162233
"1018","Thailand","THA",2015,6.1973557
"1019","Thailand","THA",2016,6.897541
"1020","Thailand","THA",2017,7.4183803
"1021","Thailand","THA",2018,7.4024935
"1022","Thailand","THA",2019,7.371805
"1023","Thailand","THA",2020,2.2497864
"1024","Thailand","THA",2021,0.8410897
"1025","Tunisia","TUN",2018,4.139818
"1026","Tunisia","TUN",2019,4.494448
"1027","Tunisia","TUN",2020,1.6993451
"1028","Tunisia","TUN",2021,1.9509805
"1029","Tunisia","TUN",2022,3.2277832
"1030","Uganda","UGA",2016,3.7
"1031","Uganda","UGA",2019,3.640056
"1032","Uganda","UGA",2022,2.4384134
"1033","United Arab Emirates","ARE",2019,6.1
"1034","United Arab Emirates","ARE",2020,3.9
"1035","United Arab Emirates","ARE",2021,6.2
"1036","United Kingdom","GBR",2008,3.4165876
"1037","United Kingdom","GBR",2009,3.4684625
"1038","United Kingdom","GBR",2010,3.3834832
"1039","United Kingdom","GBR",2011,3.6144369
"1040","United Kingdom","GBR",2012,3.722592
"1041","United Kingdom","GBR",2013,3.6835966
"1042","United Kingdom","GBR",2014,3.6095343
"1043","United Kingdom","GBR",2015,3.93745
"1044","United Kingdom","GBR",2016,3.4467204
"1045","United Kingdom","GBR",2017,3.4237223
"1046","United Kingdom","GBR",2018,3.2381542
"1047","United Kingdom","GBR",2019,3.6493528
"1048","United Kingdom","GBR",2020,1.766005
"1049","United States","USA",2008,2.8094015
"1050","United States","USA",2009,2.6618192
"1051","United States","USA",2010,2.7047336
"1052","United States","USA",2011,2.7910194
"1053","United States","USA",2012,2.7864292
"1054","United States","USA",2014,2.8936422
"1055","Uruguay","URY",2008,5.8
"1056","Uruguay","URY",2009,5.6
"1057","Uruguay","URY",2010,6.2
"1058","Uruguay","URY",2011,7.4
"1059","Uruguay","URY",2012,6.8
"1060","Uruguay","URY",2013,6.4
"1061","Uruguay","URY",2014,6.3
"1062","Uruguay","URY",2015,6.5
"1063","Uruguay","URY",2016,7.3
"1064","Uruguay","URY",2017,8.5
"1065","Uruguay","URY",2018,8.1
"1066","Uruguay","URY",2019,7
"1067","Vietnam","VNM",2013,6.06
"1068","Vietnam","VNM",2014,6.14
"1069","Vietnam","VNM",2015,6.33
"1070","Vietnam","VNM",2016,6.96
"1071","Vietnam","VNM",2017,7.9
"1072","Vietnam","VNM",2018,8.39
"1073","Vietnam","VNM",2019,9.2
"1074","Vietnam","VNM",2020,3.58
"1075","Vietnam","VNM",2021,1.97
